Number_of_prior_offenses,Frequency_of_previous_bail_violations,Potential_sentence_length,Age,Existing_debts_or_liabilities,Bail_amount,Severity_of_current_offense,Types_of_prior_offenses,Gender,Employment_status,Marital_status,Financial_stability,Property_ownership,Family_connections,Community_involvement,Stability_of_residence,Previous_compliance_with_court_orders,History_of_bail_conditions_adherence,Attempt_to_Flee
7,5,15,26,3189,8148,High,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Unstable,Rents,Weak,Inactive,Stable,Compliant,Adherent,Yes
3,1,7,29,78735,19228,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Stable,Rents,None,Inactive,Stable,Compliant,Adherent,No
14,0,7,66,63868,42159,Low,Violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Stable,Owns_Property,None,Inactive,Stable,Non-Compliant,Adherent,Yes
9,1,17,71,80318,1923,Low,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Widowed_and_living_with_family,Unstable,Rents,Strong,None,Stable,Compliant,Adherent,No
13,2,6,25,10606,18715,Low,Violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Married_with_children,Unstable,Rents,Weak,None,Unstable,Compliant,Adherent,Yes
7,8,1,50,79166,14780,Low,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Married_with_children,Unstable,No_Property,None,Inactive,Stable,Non-Compliant,Adherent,Yes
17,5,10,20,16779,29874,Low,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Stable,Rents,None,Inactive,Stable,Compliant,Adherent,Yes
9,2,12,29,74933,31258,Medium,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Widowed_and_living_with_family,Stable,Rents,Strong,Inactive,Unstable,Compliant,Adherent,No
3,2,9,29,54135,9881,Low,Violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Unstable,No_Property,Strong,Active,Unstable,Compliant,Adherent,No
16,1,2,78,86288,7864,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Unstable,Owns_Property,Weak,Active,Stable,Compliant,Adherent,Yes
16,4,15,69,81958,5652,Medium,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,No_Property,Weak,Active,Unstable,Compliant,Adherent,Yes
4,3,4,59,6483,9081,High,Violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Stable,No_Property,Strong,Active,Stable,Compliant,Adherent,No
16,9,7,66,54471,49534,High,Violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,"Single,_never_married",Unstable,Rents,Strong,Inactive,Stable,Compliant,Non-Adherent,Yes
3,2,12,44,184,12376,Low,Non-violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Widowed_and_living_with_family,Unstable,Rents,Strong,Inactive,Stable,Non-Compliant,Adherent,No
1,3,14,66,7129,32015,Medium,Non-violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Divorced_and_living_alone,Stable,Owns_Property,Strong,Active,Stable,Compliant,Adherent,No
6,3,17,58,92751,30202,High,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Unstable,Owns_Property,Strong,None,Stable,Non-Compliant,Non-Adherent,Yes
3,3,7,69,63130,10510,High,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Unstable,No_Property,Weak,Inactive,Stable,Compliant,Adherent,No
16,4,5,47,36979,28773,High,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Unstable,No_Property,Strong,Inactive,Stable,Compliant,Adherent,Yes
2,5,13,61,27472,7945,Low,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Married_with_children,Unstable,Rents,None,Active,Unstable,Non-Compliant,Adherent,Yes
15,2,1,77,9899,5810,High,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Unstable,Owns_Property,Weak,Inactive,Stable,Compliant,Non-Adherent,Yes
7,5,4,68,91095,44121,Low,Violent,Female,Self-employed_in_a_freelance_or_contract-based_job,Married_with_children,Stable,Owns_Property,Strong,Inactive,Stable,Compliant,Non-Adherent,Yes
7,3,11,76,59112,15316,Low,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Stable,Owns_Property,Weak,None,Unstable,Compliant,Adherent,No
8,6,17,66,93577,23513,Medium,Violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Unstable,Rents,Strong,Inactive,Stable,Non-Compliant,Adherent,Yes
0,0,19,22,43869,16017,Low,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Stable,Owns_Property,Strong,Inactive,Stable,Compliant,Adherent,No
1,3,11,44,75329,12902,High,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Stable,Owns_Property,Weak,Active,Stable,Compliant,Adherent,No
14,2,13,62,58595,11172,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,Owns_Property,Strong,Inactive,Stable,Non-Compliant,Adherent,Yes
5,1,16,45,76807,19950,High,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Unstable,Owns_Property,Strong,Inactive,Stable,Compliant,Adherent,No
19,8,19,61,70297,29473,Medium,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Stable,Owns_Property,Strong,Inactive,Unstable,Compliant,Non-Adherent,Yes
10,2,13,22,15031,31244,Low,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Stable,Rents,None,Active,Stable,Compliant,Adherent,No
8,8,1,57,65978,38039,Medium,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,"Single,_never_married",Stable,No_Property,Weak,Active,Stable,Compliant,Non-Adherent,Yes
5,0,7,67,24003,11761,Medium,Violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,"Single,_never_married",Stable,Rents,Strong,None,Stable,Non-Compliant,Adherent,No
0,8,13,51,69090,49310,Medium,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Unstable,Owns_Property,Weak,Inactive,Stable,Compliant,Non-Adherent,Yes
12,3,19,31,53442,17146,Low,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Unstable,Owns_Property,Strong,Inactive,Stable,Compliant,Adherent,Yes
16,7,1,29,43239,34521,High,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Unstable,No_Property,Weak,Active,Unstable,Compliant,Adherent,Yes
0,2,15,65,65436,42955,Low,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Unstable,No_Property,Strong,Inactive,Stable,Compliant,Adherent,No
0,0,18,22,20402,21603,Low,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Unstable,Owns_Property,Strong,None,Unstable,Compliant,Adherent,No
1,2,11,62,19655,33960,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Stable,Owns_Property,None,None,Stable,Non-Compliant,Adherent,No
3,3,19,66,14534,32345,Low,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Unstable,Owns_Property,Strong,Active,Stable,Compliant,Adherent,No
4,2,8,54,56165,13982,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Stable,No_Property,Weak,None,Unstable,Compliant,Adherent,No
3,9,6,79,78007,18166,Low,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Unstable,Rents,Strong,Inactive,Stable,Compliant,Adherent,Yes
3,6,1,52,27444,23679,Medium,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Stable,Rents,None,None,Stable,Compliant,Adherent,Yes
0,5,1,62,81410,18326,Low,Non-violent,Male,Self-employed_in_a_freelance_or_contract-based_job,"Single,_never_married",Stable,Owns_Property,Strong,Inactive,Stable,Compliant,Adherent,Yes
1,3,9,64,79241,38874,Low,Non-violent,Female,Self-employed_in_a_freelance_or_contract-based_job,Divorced_and_living_alone,Stable,No_Property,None,Active,Stable,Compliant,Adherent,No
5,1,6,37,95239,46071,Low,Violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Stable,Owns_Property,None,Active,Stable,Compliant,Adherent,No
4,3,11,38,23987,7787,Medium,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,"Single,_never_married",Stable,Rents,None,Inactive,Unstable,Compliant,Adherent,No
4,0,14,33,20357,33597,Low,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Stable,Rents,Strong,Inactive,Unstable,Compliant,Adherent,No
9,2,1,65,33160,34537,High,Violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,Owns_Property,Weak,Inactive,Stable,Non-Compliant,Non-Adherent,Yes
4,1,9,33,53235,30407,Medium,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Unstable,Owns_Property,Strong,Inactive,Stable,Compliant,Adherent,No
12,6,7,78,21823,28762,Low,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Unstable,Rents,None,None,Stable,Non-Compliant,Adherent,Yes
10,3,9,71,14929,38601,Medium,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Stable,No_Property,Weak,Active,Unstable,Non-Compliant,Adherent,No
7,2,17,73,17501,3742,Low,Violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Married_with_children,Stable,Owns_Property,Strong,None,Stable,Compliant,Adherent,No
17,4,3,66,43948,14145,Low,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Unstable,Owns_Property,Weak,Inactive,Unstable,Compliant,Adherent,Yes
0,9,6,68,28945,36934,Low,Non-violent,Male,Self-employed_in_a_freelance_or_contract-based_job,"Single,_never_married",Unstable,Rents,Weak,Inactive,Unstable,Non-Compliant,Adherent,Yes
8,1,1,67,89384,25958,Low,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Widowed_and_living_with_family,Stable,Rents,Strong,Inactive,Unstable,Compliant,Adherent,No
6,1,19,25,54380,47736,Medium,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Stable,No_Property,Weak,None,Unstable,Non-Compliant,Adherent,No
14,8,12,46,75888,2149,High,Non-violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Married_with_children,Stable,Rents,Strong,Active,Stable,Compliant,Adherent,Yes
10,2,6,72,3184,14235,High,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Unstable,No_Property,Strong,Inactive,Stable,Compliant,Adherent,No
7,0,6,77,6667,18458,Low,Violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Married_with_children,Unstable,Rents,Strong,Active,Stable,Compliant,Adherent,No
5,9,8,53,63316,46148,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Unstable,No_Property,None,None,Unstable,Compliant,Adherent,Yes
7,9,19,41,59369,10865,Medium,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Unstable,No_Property,Weak,None,Unstable,Compliant,Adherent,Yes
1,1,4,61,65940,25464,High,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Stable,Rents,Strong,Inactive,Stable,Compliant,Adherent,No
0,4,7,23,2849,48894,Medium,Non-violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Widowed_and_living_with_family,Unstable,Rents,Strong,Inactive,Stable,Non-Compliant,Non-Adherent,Yes
7,3,13,28,85335,4820,Low,Violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Stable,Owns_Property,Weak,None,Stable,Compliant,Adherent,No
19,3,16,22,87280,31883,Medium,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Unstable,Rents,Strong,Active,Stable,Non-Compliant,Adherent,Yes
14,1,10,22,12931,16329,High,Violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Married_with_children,Stable,Owns_Property,None,Inactive,Stable,Compliant,Adherent,Yes
19,6,6,70,71305,33283,Medium,Violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Unstable,No_Property,Weak,Inactive,Unstable,Non-Compliant,Adherent,Yes
9,0,11,22,47931,41888,High,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Unstable,Owns_Property,Strong,None,Stable,Compliant,Adherent,No
11,8,4,39,79823,43548,Low,Non-violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Married_with_children,Stable,Rents,Strong,Inactive,Unstable,Compliant,Non-Adherent,Yes
7,3,4,54,81685,22981,Low,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Married_with_children,Stable,Rents,None,Active,Stable,Compliant,Adherent,No
2,2,4,60,52116,27052,Medium,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,"Single,_never_married",Unstable,No_Property,Strong,None,Stable,Compliant,Adherent,No
12,8,11,68,20988,21831,Low,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Unstable,Rents,None,Inactive,Unstable,Compliant,Adherent,Yes
15,2,3,63,58833,9423,Low,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Unstable,Owns_Property,Weak,Inactive,Stable,Non-Compliant,Adherent,Yes
4,9,19,34,68006,23219,High,Violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,"Single,_never_married",Stable,Owns_Property,Strong,Inactive,Unstable,Compliant,Adherent,Yes
19,9,12,64,12018,1823,Low,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Unstable,Rents,Weak,None,Stable,Compliant,Adherent,Yes
7,2,1,79,86311,20138,High,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Widowed_and_living_with_family,Stable,No_Property,None,Inactive,Stable,Compliant,Adherent,No
17,6,8,44,46270,25409,Low,Violent,Female,Self-employed_in_a_freelance_or_contract-based_job,Widowed_and_living_with_family,Stable,Rents,Strong,Inactive,Stable,Compliant,Non-Adherent,Yes
6,1,14,28,49482,46836,Low,Non-violent,Male,Self-employed_in_a_freelance_or_contract-based_job,Widowed_and_living_with_family,Stable,Rents,None,Active,Stable,Compliant,Adherent,No
11,6,3,62,5797,22573,Low,Violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,"Single,_never_married",Unstable,Owns_Property,Strong,Inactive,Stable,Compliant,Adherent,Yes
1,9,13,29,31213,35483,Low,Violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Unstable,No_Property,None,Inactive,Stable,Compliant,Adherent,Yes
2,1,15,64,78387,25123,Medium,Non-violent,Female,Self-employed_in_a_freelance_or_contract-based_job,Widowed_and_living_with_family,Stable,Rents,Strong,Inactive,Stable,Non-Compliant,Adherent,No
4,2,14,50,12971,1352,Medium,Non-violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,"Single,_never_married",Stable,No_Property,Strong,Inactive,Stable,Compliant,Adherent,No
5,1,13,64,46020,18523,Low,Violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Unstable,Owns_Property,Strong,Inactive,Stable,Non-Compliant,Adherent,No
5,8,2,33,46230,45223,Medium,Non-violent,Male,Currently_employed_in_a_stable_job_with_a_regular_income,Divorced_and_living_alone,Stable,Owns_Property,Strong,Active,Stable,Compliant,Non-Adherent,Yes
6,1,16,70,68870,47719,Low,Violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Married_with_children,Stable,Rents,Weak,Inactive,Stable,Non-Compliant,Adherent,No
9,8,19,36,95357,10397,Medium,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Stable,Rents,Strong,Active,Unstable,Compliant,Adherent,Yes
0,2,15,65,65436,42955,Low,Non-violent,Female,Currently_employed_in_a_stable_job_with_a_regular_income,Widowed_and_living_with_family,Unstable,No_Property,Strong,Inactive,Stable,Compliant,Adherent,No
3,9,1,33,53815,33448,Medium,Non-violent,Female,Unemployed_and_actively_seeking_employment_or_assistance,Widowed_and_living_with_family,Stable,Rents,None,Inactive,Unstable,Compliant,Adherent,Yes
4,1,18,50,45538,24712,Low,Violent,Male,Unemployed_and_actively_seeking_employment_or_assistance,Divorced_and_living_alone,Unstable,Rents,Strong,Inactive,Unstable,Compliant,Adherent,No
